verse:0,prose:1
texts/latin_latinlibrary_verse_ovid_ovid.met12.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met13.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met14.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met15.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met2.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met3.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met4.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met5.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met6.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met7.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met8.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.met9.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.ponto1.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.ponto2.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.ponto3.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.ponto4.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.rem.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.tristia1.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.tristia2.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.tristia3.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.tristia4.txt,0
texts/latin_latinlibrary_verse_ovid_ovid.tristia5.txt,0
